Student_ID,Age,Gender,Degree,Branch,Semester,CGPA,Python,SQL,Java,C++,JavaScript,HTML_CSS,Data_Structures,OOP,Statistics,Mathematics,Machine_Learning,Deep_Learning,Data_Visualization,Pandas,NumPy,Power_BI,Communication,Leadership,Problem_Solving,Critical_Thinking,Creativity,Teamwork,Presentation,Time_Management,AI_Interest,Programming_Interest,Research_Interest,Business_Interest,Cloud_Interest,Cybersecurity_Interest,Finance_Interest,Design_Interest,Analytical_Thinking,Logical_Reasoning,Attention_to_Detail,Decision_Making,Confidence,Adaptability,Curiosity,Projects,Internships,Hackathons,Certifications,GitHub_Activity,Open_Source,Career
78600,25,Male,B.Tech,Information Technology,8,7.57,2,5,2,2,1,1,5,3,3,4,2,1,4,2,3,2,5,3,5,5,4,4,3,5,1,4,5,4,5,3,2,1,5,5,5,4,4,5,5,3,3,2,2,4,3,Database Administrator
96703,21,Male,MCA,Computer Science,5,9.02,4,3,4,5,4,5,5,5,3,5,1,1,2,4,2,1,5,3,5,5,4,5,2,5,2,5,5,4,5,3,3,3,5,5,5,5,5,5,4,8,1,3,5,5,5,Software Engineer
30911,25,Male,B.Sc,Data Science,6,8.59,5,5,2,2,1,2,5,4,5,5,4,5,4,5,4,5,5,2,5,5,4,3,3,5,5,4,4,2,3,2,1,1,5,5,5,5,4,4,5,6,2,3,2,3,3,Data Scientist
82001,18,Female,B.Sc,Information Technology,2,9.69,2,4,2,1,1,2,3,3,5,5,2,1,5,5,3,5,5,5,5,5,5,5,5,4,3,3,4,5,3,1,4,2,5,5,5,5,5,5,4,3,1,3,2,2,0,Business Analyst
16529,24,Male,BCA,Computer Science,8,9.57,3,5,4,4,3,3,4,5,2,3,2,1,2,3,4,1,4,5,5,5,5,5,4,4,3,5,5,3,5,5,2,1,5,5,5,5,5,5,5,8,1,2,6,5,4,Cloud Engineer
63729,18,Female,MCA,Computer Science,3,9.34,2,2,1,2,5,5,2,3,1,2,2,1,4,2,1,2,5,3,5,5,5,5,5,5,1,5,5,3,2,2,3,5,5,5,5,5,4,5,5,4,2,2,5,1,2,UI/UX Designer
25722,26,Male,B.Tech,Computer Science,4,9.32,4,4,2,3,2,1,4,5,5,4,4,5,5,4,4,3,3,2,4,4,4,5,3,5,5,5,5,3,3,2,1,2,5,5,5,3,4,3,5,7,2,5,4,4,0,Data Scientist
12972,20,Female,BCA,Data Science,2,9.19,3,5,2,1,1,2,4,2,5,5,3,1,5,5,5,5,4,2,4,5,5,5,4,5,4,3,4,5,3,2,4,5,5,5,5,4,4,5,5,4,2,2,3,2,0,Data Analyst
64914,26,Female,B.Sc,Computer Science,1,7.45,5,4,5,5,4,5,5,5,4,4,3,1,2,2,4,2,5,3,5,5,4,5,4,4,4,5,4,3,3,2,3,3,5,5,4,5,4,5,4,5,3,5,5,4,4,Software Engineer
33667,28,Male,MCA,Artificial Intelligence,8,7.27,5,5,2,4,1,2,4,4,5,5,5,4,5,5,5,4,4,4,5,5,4,4,3,4,5,5,4,2,4,3,1,1,5,5,5,5,4,4,5,6,3,3,4,4,2,Machine Learning Engineer
20049,22,Female,MCA,Computer Science,4,8.6,3,5,3,3,1,1,5,4,4,4,1,1,3,2,2,3,5,4,5,5,3,5,4,5,2,4,4,5,4,5,4,1,5,5,5,5,4,4,4,3,1,1,5,4,1,Database Administrator
44682,23,Female,M.Tech,Artificial Intelligence,6,6.8,5,4,3,3,2,2,5,4,5,5,5,4,5,5,5,4,3,4,5,5,5,4,3,5,5,5,5,2,5,3,1,2,5,5,5,5,5,4,5,5,2,2,6,4,3,Machine Learning Engineer
54213,24,Female,M.Tech,Computer Science,2,8.58,5,5,4,4,4,4,5,5,2,3,2,1,3,2,3,1,4,4,5,5,5,5,2,4,2,5,3,4,3,2,3,2,5,5,4,5,4,5,4,6,2,3,5,4,4,Software Engineer
24236,24,Female,MCA,Artificial Intelligence,1,7.56,3,3,5,4,4,5,5,5,4,4,2,1,3,3,3,2,4,4,5,5,4,5,3,4,4,5,3,4,3,3,1,4,5,5,5,5,5,5,5,8,3,4,2,4,3,Software Engineer
59063,23,Female,M.Tech,Information Technology,1,7.75,4,5,4,3,3,4,4,5,2,4,2,1,2,4,3,2,4,3,5,5,3,5,3,4,2,5,4,2,5,4,3,1,5,5,4,4,5,5,5,7,2,2,6,4,3,Cloud Engineer
85605,23,Female,BCA,Data Science,7,7.29,4,5,1,1,2,2,4,4,5,4,4,2,5,5,4,5,4,4,5,5,3,4,4,4,3,5,4,5,2,1,4,4,5,5,5,5,3,5,4,3,3,3,2,3,0,Data Analyst
15544,26,Male,M.Tech,Data Science,3,8.52,5,3,5,3,2,3,4,4,4,5,5,5,3,4,5,2,4,3,5,5,4,4,4,4,5,5,5,2,3,3,1,3,5,5,5,5,4,4,5,5,1,5,4,4,4,AI Engineer
75816,26,Male,BCA,Artificial Intelligence,3,6.87,5,4,4,3,2,2,5,5,5,5,5,4,4,5,5,2,4,4,5,5,3,4,5,5,5,5,4,3,4,2,2,2,5,5,5,4,3,5,5,7,3,5,4,4,5,Machine Learning Engineer
53220,21,Female,B.Tech,Artificial Intelligence,4,8.19,4,5,2,1,2,2,2,2,4,3,1,1,5,5,4,5,5,4,5,5,4,5,5,4,3,3,5,5,3,2,5,2,5,5,4,5,4,5,4,4,1,3,2,1,1,Business Analyst
95172,28,Female,M.Tech,Artificial Intelligence,4,7.27,4,5,1,1,1,2,2,3,4,4,1,1,5,4,2,5,5,4,5,5,4,5,5,5,3,4,5,5,3,2,5,3,5,5,4,5,5,5,4,5,3,3,4,1,1,Business Analyst
40617,20,Male,BCA,Information Technology,3,9.42,4,5,2,3,2,2,4,3,3,3,2,2,3,3,4,1,4,3,5,5,4,5,5,4,2,5,4,2,4,5,2,2,5,5,5,4,4,4,5,7,3,2,3,3,2,Cybersecurity Analyst
62601,23,Female,M.Tech,Information Technology,5,8.53,4,5,4,2,2,1,5,3,4,5,5,5,4,5,4,5,3,2,5,4,3,4,4,4,5,4,5,2,3,2,1,2,5,4,4,5,3,4,5,4,2,4,4,3,2,Data Scientist
17345,27,Male,B.Tech,Data Science,5,8.35,3,5,3,2,1,2,5,3,3,5,1,1,3,2,2,4,5,5,5,5,4,4,4,5,2,4,4,4,5,5,2,1,5,5,5,4,4,4,5,5,1,2,5,2,1,Database Administrator
64384,28,Female,MCA,Artificial Intelligence,2,9.5,3,4,4,5,4,3,4,5,3,5,3,2,2,2,4,1,4,4,5,5,3,4,3,5,3,5,4,3,5,5,3,2,5,5,5,4,4,4,5,5,2,5,6,3,2,Cybersecurity Analyst
32818,20,Male,B.Tech,Artificial Intelligence,5,7.14,5,4,2,4,2,2,5,5,5,5,5,5,4,5,5,2,4,3,5,5,3,4,5,4,5,5,5,3,4,2,2,1,5,5,5,4,3,4,5,7,4,2,5,4,2,Machine Learning Engineer
55084,24,Male,B.Sc,Computer Science,5,8.19,3,4,5,5,4,4,5,5,3,5,3,1,3,2,4,1,5,3,5,5,4,5,4,4,4,5,5,3,5,2,1,2,5,5,4,5,3,5,5,7,3,4,2,5,2,Software Engineer
10606,27,Female,MCA,Artificial Intelligence,1,7.01,4,4,5,5,4,5,5,5,4,4,1,1,3,4,4,2,4,4,5,5,5,5,2,4,3,5,5,2,4,4,2,4,5,5,5,4,3,5,4,6,1,2,5,5,3,Software Engineer
78347,21,Female,B.Tech,Information Technology,5,7.64,4,3,3,4,4,3,4,3,4,3,1,1,2,3,3,1,4,4,5,5,3,5,5,5,3,4,5,3,4,5,2,2,5,5,5,5,4,4,5,5,2,4,5,4,1,Cybersecurity Analyst
10165,21,Female,B.Tech,Data Science,2,9.06,5,5,3,2,3,4,5,4,2,5,2,2,2,2,3,2,4,4,5,5,4,5,5,5,3,5,5,2,5,4,2,2,5,5,5,4,4,5,4,6,1,3,5,4,5,Cloud Engineer
34277,28,Female,B.Tech,Artificial Intelligence,6,8.22,5,4,3,4,1,1,5,4,5,5,5,5,5,5,5,3,5,4,5,5,4,5,5,4,5,5,5,3,5,3,2,2,5,5,5,5,4,5,5,5,4,5,3,4,5,Machine Learning Engineer
70456,20,Female,B.Sc,Artificial Intelligence,2,8.94,3,4,4,3,5,4,5,4,2,4,2,1,2,3,3,2,5,3,5,5,4,5,5,4,2,5,4,3,5,5,3,2,5,5,4,4,4,5,5,7,1,5,5,4,5,Cloud Engineer
53759,25,Male,B.Sc,Data Science,2,8.87,3,3,2,3,5,2,4,5,2,3,1,1,2,4,2,1,5,4,5,5,5,5,3,4,2,5,5,3,5,5,2,2,5,5,5,4,5,5,5,4,1,2,5,4,4,Cloud Engineer
50786,24,Female,B.Sc,Artificial Intelligence,1,7.06,3,1,1,1,5,5,3,3,2,3,2,1,5,1,1,1,5,3,4,5,5,5,5,4,1,4,5,5,1,1,2,5,5,3,5,4,4,5,5,5,2,1,5,2,2,UI/UX Designer
20175,21,Male,B.Sc,Computer Science,6,7.03,3,5,2,2,2,1,5,3,4,4,2,1,3,2,3,3,4,4,5,5,4,4,3,5,1,4,4,3,4,3,2,2,5,5,5,5,4,5,5,5,2,3,4,4,1,Database Administrator
92393,24,Male,MCA,Data Science,3,9.54,5,3,3,3,2,2,5,5,5,5,5,5,3,5,5,3,5,4,5,5,4,4,3,3,5,5,5,3,4,3,1,3,5,5,5,5,4,5,5,7,1,3,5,4,1,AI Engineer
82619,24,Female,B.Sc,Data Science,5,6.82,5,5,2,2,1,1,4,4,5,4,4,1,5,5,5,5,5,2,5,5,3,5,4,5,4,4,5,5,2,1,5,4,5,5,5,4,3,4,5,5,2,2,3,4,0,Data Analyst
88075,24,Male,BCA,Data Science,2,7.68,4,5,2,3,1,1,3,4,5,5,5,4,5,5,4,5,4,2,5,5,3,4,4,5,5,5,5,3,2,2,2,2,5,5,5,3,4,4,5,4,1,1,6,5,2,Data Scientist
69772,22,Male,B.Sc,Data Science,5,8.06,3,1,1,1,5,5,3,3,2,3,1,1,5,2,1,1,5,4,5,4,5,5,5,4,1,3,5,3,2,2,2,5,5,5,5,5,4,5,5,4,1,2,3,2,1,UI/UX Designer
77750,25,Female,M.Tech,Information Technology,3,7.04,5,5,4,2,4,4,4,4,3,5,2,2,3,4,3,2,4,5,5,5,3,5,3,4,3,5,5,3,5,5,2,2,5,5,5,4,5,5,5,7,1,3,3,5,3,Cloud Engineer
31562,24,Male,M.Tech,Artificial Intelligence,4,9.55,3,5,2,2,2,2,3,3,2,3,1,1,3,3,2,4,4,4,5,5,4,4,3,5,2,5,3,4,5,4,4,1,5,5,5,5,5,5,4,6,2,1,5,2,3,Database Administrator
46456,21,Male,BCA,Artificial Intelligence,5,9.39,4,3,3,2,1,1,4,5,4,4,5,3,4,5,4,4,3,2,5,4,4,5,4,3,5,5,5,3,2,2,2,1,5,5,5,5,4,4,5,4,3,3,2,5,3,Data Scientist
71129,25,Male,M.Tech,Computer Science,8,9.7,3,4,2,1,1,2,2,2,4,5,2,1,5,5,3,5,5,4,5,5,5,5,5,4,3,4,5,5,2,2,4,2,5,5,5,5,5,5,4,3,1,1,2,2,2,Business Analyst
96449,21,Male,B.Sc,Data Science,4,7.16,3,5,4,5,4,3,5,5,3,4,3,1,2,3,2,1,4,3,5,5,5,5,4,5,3,4,4,3,5,5,2,2,5,5,5,4,4,4,5,5,3,3,5,5,1,Cybersecurity Analyst
54530,22,Male,BCA,Information Technology,5,7.87,3,2,1,2,3,4,3,2,1,2,1,1,5,1,2,2,5,5,4,5,5,5,5,5,1,5,4,4,2,2,3,5,5,3,5,5,4,5,5,5,2,2,3,1,0,UI/UX Designer
40203,19,Female,BCA,Computer Science,4,6.56,5,3,4,4,5,4,4,4,3,5,3,2,2,3,3,2,5,5,5,5,3,5,5,5,2,5,3,2,5,5,3,2,5,5,4,4,4,5,5,8,3,3,6,5,3,Cloud Engineer
23091,23,Male,MCA,Data Science,7,6.54,4,5,4,2,3,2,4,5,2,3,2,2,3,4,2,1,5,5,5,5,3,5,4,5,2,5,5,3,5,4,3,2,5,5,4,5,4,5,4,6,2,2,6,5,4,Cloud Engineer
61087,22,Male,MCA,Computer Science,5,9.58,2,1,2,1,5,5,1,2,1,3,1,1,4,1,1,2,5,4,4,4,5,5,5,5,1,5,4,4,1,2,3,5,3,3,5,4,5,5,5,4,2,1,2,1,2,UI/UX Designer
58525,22,Female,M.Tech,Artificial Intelligence,6,9.77,4,3,4,5,4,4,5,5,3,5,1,1,3,4,4,1,4,4,5,5,5,5,2,5,2,5,4,2,3,3,3,2,5,5,5,4,5,5,5,7,3,3,4,4,4,Software Engineer
16242,26,Female,BCA,Information Technology,8,8.86,4,5,3,1,2,1,2,2,5,4,2,1,5,5,4,5,4,4,5,5,5,5,5,5,4,3,5,5,2,2,4,4,5,5,5,4,4,5,5,6,2,1,5,4,0,Data Analyst
98072,22,Female,B.Tech,Information Technology,1,6.64,5,5,3,2,5,2,4,5,3,3,3,1,2,2,3,1,4,5,5,5,4,5,4,4,2,5,4,4,5,4,2,1,5,5,5,4,5,5,4,6,1,3,4,4,5,Cloud Engineer
42784,22,Female,B.Sc,Artificial Intelligence,8,8.83,4,5,4,3,2,2,4,4,4,4,5,5,5,4,4,5,5,3,4,5,4,4,4,4,5,5,5,2,3,1,1,1,5,4,5,5,5,3,5,5,2,1,6,5,2,Data Scientist
44338,19,Female,MCA,Data Science,7,9.58,3,4,2,3,4,3,5,5,3,4,2,1,2,2,4,1,5,3,5,5,4,5,5,4,3,5,4,4,5,5,3,2,5,5,4,5,5,5,4,6,1,5,5,4,5,Cloud Engineer
54110,21,Female,MCA,Computer Science,6,8.63,2,1,1,1,5,4,3,3,1,3,2,1,4,2,1,2,5,3,4,4,5,5,5,4,1,5,4,3,2,2,2,5,3,3,5,5,5,5,5,5,1,0,4,1,0,UI/UX Designer
10198,28,Male,MCA,Data Science,7,6.72,5,4,2,5,1,2,4,5,5,5,5,4,5,5,5,3,5,4,5,5,5,4,4,4,5,5,5,2,4,2,1,1,5,5,5,5,5,4,5,8,4,4,5,5,3,Machine Learning Engineer
33006,24,Female,B.Tech,Data Science,1,9.35,3,4,3,4,3,3,5,4,4,5,2,2,2,2,4,2,5,5,5,5,3,4,5,4,3,4,5,3,5,5,2,2,5,5,5,5,5,5,5,6,1,3,5,3,3,Cybersecurity Analyst
62726,19,Male,M.Tech,Information Technology,7,7.29,3,5,2,1,2,2,3,3,4,4,1,1,5,4,2,5,5,5,5,5,5,5,5,5,2,3,4,5,2,1,4,2,5,5,4,5,5,5,5,5,3,2,4,2,2,Business Analyst
64832,18,Female,MCA,Computer Science,5,8.36,2,5,2,2,2,1,4,3,3,4,2,1,3,3,3,2,4,5,5,5,4,4,4,5,2,4,4,4,5,5,4,1,5,5,5,4,5,5,5,3,3,2,2,2,1,Database Administrator
32323,18,Male,M.Tech,Computer Science,4,7.76,2,5,2,2,2,1,5,4,4,3,1,1,2,3,2,4,4,5,5,5,3,4,4,5,1,5,5,3,4,5,2,2,5,5,5,5,5,5,5,4,1,2,5,3,2,Database Administrator
33196,28,Female,M.Tech,Information Technology,8,8.23,5,5,1,2,1,1,2,3,5,4,2,1,5,5,4,5,5,2,5,5,3,5,5,4,2,5,5,5,2,1,4,3,5,5,5,5,4,4,4,4,1,3,4,2,2,Data Analyst
92626,20,Female,B.Sc,Artificial Intelligence,2,9.1,5,4,3,3,2,2,5,4,4,5,5,5,3,4,5,4,3,5,5,5,4,3,5,4,5,5,5,3,3,2,1,2,5,5,5,4,4,4,5,8,1,5,4,5,1,AI Engineer
18982,27,Male,M.Tech,Artificial Intelligence,8,7.6,5,3,4,2,3,2,4,4,3,4,3,1,2,4,3,2,5,5,5,5,3,5,4,5,3,5,5,3,5,4,2,1,5,5,5,5,4,5,5,8,2,5,6,4,3,Cloud Engineer
22553,19,Male,M.Tech,Data Science,1,8.32,3,4,4,3,4,2,5,4,2,5,1,2,2,4,3,1,4,5,5,5,5,5,3,5,3,5,5,3,5,5,2,1,5,5,5,4,4,5,5,7,1,3,4,5,2,Cloud Engineer
58497,21,Female,BCA,Computer Science,6,8.32,4,5,3,3,2,1,4,3,2,3,2,1,2,3,2,3,5,3,5,5,4,4,3,5,2,4,4,5,5,3,2,1,5,5,5,5,4,4,4,5,2,3,2,2,2,Database Administrator
47832,26,Male,BCA,Information Technology,5,6.78,5,5,3,1,2,1,3,4,5,5,3,2,5,5,4,5,5,4,4,5,4,5,4,5,2,4,5,5,2,1,4,4,5,5,5,5,3,4,5,5,1,2,5,4,1,Data Analyst
32429,23,Male,MCA,Artificial Intelligence,2,7.95,5,4,4,5,5,5,5,5,2,5,1,2,2,3,2,2,4,4,5,5,4,5,2,4,4,5,5,3,4,2,1,2,5,5,4,5,5,5,5,7,1,3,4,5,3,Software Engineer
88856,25,Male,BCA,Information Technology,7,6.87,4,5,3,2,2,2,2,3,5,5,2,2,5,5,5,5,4,3,5,5,5,5,5,5,3,5,4,5,2,1,4,3,5,5,5,5,5,5,5,4,3,3,4,4,1,Data Analyst
77066,24,Male,M.Tech,Artificial Intelligence,2,9.0,3,4,3,4,4,2,5,4,3,3,2,1,2,3,3,1,4,3,5,5,4,5,5,5,3,5,3,3,5,4,3,2,5,5,5,4,5,5,4,4,2,3,3,5,2,Cloud Engineer
82997,18,Female,BCA,Artificial Intelligence,2,7.81,2,2,2,2,5,4,2,2,2,2,1,1,4,2,1,1,5,5,5,4,5,5,5,4,1,3,4,4,1,1,3,5,3,4,5,4,4,5,5,8,2,2,3,2,2,UI/UX Designer
33761,19,Male,MCA,Computer Science,1,8.19,4,3,4,3,4,4,4,5,3,5,3,1,2,4,4,2,4,4,5,5,5,5,4,5,2,5,4,2,5,4,3,2,5,5,5,5,4,5,4,4,2,5,6,4,3,Cloud Engineer
91443,22,Male,B.Sc,Artificial Intelligence,8,8.63,3,5,2,1,2,2,4,3,5,5,4,2,5,5,5,5,5,2,5,5,3,5,4,4,2,3,4,5,2,1,4,4,5,5,5,5,4,5,5,6,2,2,3,3,0,Data Analyst
73537,18,Male,BCA,Information Technology,3,7.11,5,4,4,5,2,3,5,5,4,5,5,5,4,4,5,2,5,4,5,5,5,5,4,5,5,5,5,3,5,2,2,2,5,5,5,5,4,5,5,5,3,3,5,4,2,AI Engineer
29131,28,Female,BCA,Artificial Intelligence,6,7.02,4,5,2,2,2,1,3,2,4,3,1,1,5,3,4,5,5,5,5,5,4,5,5,5,3,3,5,5,2,1,5,3,5,5,5,5,5,5,4,5,3,2,2,1,0,Business Analyst
74649,28,Male,MCA,Computer Science,3,7.64,5,4,4,4,2,1,5,4,5,5,5,5,4,5,5,3,5,4,5,5,5,5,5,4,5,5,5,2,5,2,2,1,5,5,5,5,5,5,5,8,2,5,3,5,2,Machine Learning Engineer
36432,25,Male,BCA,Information Technology,2,7.88,3,5,3,1,1,2,4,4,5,4,2,2,5,5,4,5,5,4,4,5,5,5,4,5,4,3,4,5,3,2,5,5,5,5,5,5,3,5,5,3,2,1,2,4,1,Data Analyst
69275,24,Female,B.Tech,Computer Science,6,7.23,4,3,4,4,5,5,5,5,2,5,1,1,2,4,4,2,5,4,5,5,5,5,4,4,4,5,5,2,3,2,2,2,5,5,4,5,5,5,4,6,3,5,3,4,4,Software Engineer
13690,25,Male,M.Tech,Information Technology,4,9.3,3,2,2,2,3,5,2,2,1,3,1,1,4,1,1,1,5,3,4,5,5,5,5,4,1,5,4,3,1,1,3,5,5,4,5,5,4,5,5,7,2,0,2,1,2,UI/UX Designer
71971,27,Male,B.Tech,Artificial Intelligence,4,8.71,3,5,3,2,2,2,3,3,5,4,3,1,5,5,4,5,4,4,5,5,5,5,5,5,2,3,5,5,2,2,5,4,5,5,5,4,4,5,5,3,2,1,4,2,2,Data Analyst
96213,25,Female,MCA,Information Technology,5,8.77,5,4,5,3,2,2,4,4,5,5,5,5,5,4,5,4,4,3,5,5,5,3,5,3,5,5,5,3,5,2,2,2,5,5,4,4,4,4,5,8,2,3,6,4,4,AI Engineer
13571,22,Female,M.Tech,Computer Science,7,8.0,5,5,3,3,2,2,4,5,5,5,5,4,4,5,5,4,3,3,5,5,5,4,5,5,5,5,4,3,4,2,1,1,5,5,5,4,3,5,5,6,2,5,3,5,3,Machine Learning Engineer
54288,24,Male,MCA,Artificial Intelligence,1,9.37,5,4,3,2,2,2,5,3,5,5,4,4,4,4,5,5,3,2,4,4,4,4,4,3,5,5,4,3,2,1,1,2,5,5,5,5,5,5,5,5,1,1,2,5,3,Data Scientist
99953,21,Female,B.Tech,Data Science,7,7.11,3,5,5,5,4,5,5,5,3,4,3,2,3,4,4,1,4,3,5,5,4,5,2,5,4,5,5,4,5,3,1,2,5,5,4,5,3,5,5,7,3,4,2,4,5,Software Engineer
41302,28,Male,B.Sc,Data Science,3,7.17,3,2,2,2,3,4,3,3,2,2,1,1,4,2,1,2,5,5,4,4,5,5,5,5,2,4,5,5,2,1,3,5,3,3,5,4,5,5,5,5,1,2,4,3,1,UI/UX Designer
33493,19,Male,M.Tech,Information Technology,2,7.07,4,5,4,2,2,2,4,3,5,5,5,5,5,5,5,3,5,4,4,5,5,3,3,3,5,4,5,2,3,1,1,2,5,5,5,3,4,5,5,6,1,1,4,5,2,Data Scientist
48787,28,Female,M.Tech,Computer Science,1,7.08,5,4,2,3,2,2,5,5,5,5,4,5,5,5,5,5,4,4,5,4,3,4,4,4,5,5,4,2,2,1,1,1,5,4,4,5,5,4,5,8,1,3,6,5,3,Data Scientist
38794,20,Male,B.Sc,Information Technology,3,7.57,5,5,2,1,2,2,4,3,5,5,4,2,5,5,4,5,4,4,4,5,4,5,4,4,2,5,5,5,2,1,5,4,5,5,5,4,3,4,4,4,2,2,2,2,0,Data Analyst
41286,24,Female,MCA,Data Science,8,9.48,5,4,4,3,3,2,5,5,2,3,1,2,2,2,2,1,4,4,5,5,4,5,4,4,2,5,3,2,5,5,2,2,5,5,5,4,4,5,4,6,3,3,4,5,5,Cloud Engineer
36591,22,Male,B.Sc,Information Technology,5,7.85,4,5,3,3,1,2,4,3,2,4,1,1,2,2,3,2,5,4,5,5,4,4,4,5,2,4,3,4,5,3,3,2,5,5,5,4,5,4,5,4,2,3,2,3,3,Database Administrator
86825,18,Female,B.Sc,Information Technology,7,6.89,5,3,4,5,3,2,4,4,4,5,5,5,3,4,5,2,4,4,5,5,5,4,4,3,5,5,5,2,4,3,1,3,5,5,4,5,4,5,5,5,3,2,4,4,3,AI Engineer
26290,21,Male,M.Tech,Computer Science,8,7.06,3,5,3,2,3,4,5,5,2,3,2,2,2,2,3,2,4,3,5,5,3,5,5,5,2,5,5,4,5,5,2,1,5,5,5,4,5,5,4,7,2,2,6,5,4,Cloud Engineer
17676,27,Female,MCA,Data Science,8,8.4,2,5,2,1,1,1,2,3,4,5,1,1,5,3,2,5,5,5,5,5,4,5,5,5,3,3,4,5,2,1,5,3,5,5,4,5,4,5,5,4,2,1,4,2,2,Business Analyst
18937,24,Male,MCA,Computer Science,4,6.68,4,5,3,1,2,2,2,4,5,4,4,1,5,5,4,5,4,3,5,5,5,4,5,4,2,4,5,5,3,1,4,3,5,5,5,5,5,4,5,5,3,2,3,2,2,Data Analyst
96535,19,Male,MCA,Information Technology,3,8.51,4,4,3,2,1,1,4,5,4,5,5,5,5,4,4,5,5,3,5,4,5,4,4,3,5,4,4,2,3,1,1,2,5,4,5,5,3,3,5,8,3,2,3,5,0,Data Scientist
30699,21,Male,M.Tech,Information Technology,4,8.72,3,5,3,2,2,2,3,3,2,4,1,1,4,3,2,3,5,5,5,5,4,5,4,5,2,4,3,5,5,3,2,2,5,5,5,5,4,4,4,6,2,1,4,4,3,Database Administrator
52468,27,Male,M.Tech,Information Technology,6,6.75,5,5,3,3,2,3,4,4,5,5,5,5,3,5,5,3,4,4,5,5,4,4,5,4,5,5,5,2,4,3,1,3,5,5,4,4,4,4,5,6,2,4,5,5,4,AI Engineer
98607,28,Female,B.Tech,Computer Science,5,9.18,5,5,4,4,3,3,4,4,5,5,5,5,5,4,5,2,4,5,5,5,4,4,5,3,5,5,5,3,3,3,1,2,5,5,5,4,4,5,5,6,2,2,3,5,4,AI Engineer
